,QueryText,KCCAns
842,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY LIGHT   RAINFALL CHANCES.
844,"Farmer asked about market rate POMOGRANATE ?
Market price of  -",Min-  2000	 Max-   ????? Average-  10000  /quintal
846,Asking about weather forecast?,This week weather is CLOUDY and   NO Possibility of Rainfall.
854,Asking about weather forecast?,"TODAY  weather is cloudy,possiblity of light rainfall."
856,Asking about weather forecast ?,This week weather is CLOUDY and   NO Possibility of Rainfall
860,ASKING ABOUT WEATHER FORECAST?,Today Weather is partially cloudy and No possibility of Rainfall.
864,ASKING ABOUT CONTROLL on bottle gourd ?,Spray Bavistine 30gm/15liter of Water(Carbendazim 50%)BASF
868,Asking about weather forecast?,"Weather forecast: The sky is partly cloudy, there is a possibility of rain in some places."
872,asking about STEM BORER IN pomogranate?,Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova
878,ASKING ABOUT FERTILIZER DOSE FOR ber?,By Drip 00:52:34   3 kg + microlla  300 ml+ BAVISTIN 300 GRAM /ACRE
884,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES.
886,FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF onion -100- 1460 RS/QTL
888,FERTILIZER SPRAY ON ONION ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
892,ATTACK OF SUGARCANE WOOLY APHIDS ?,ATTACK OF SUGARCANE WOOLY APHIDS - SPRAY KARATE 15 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
894,asked about market rate of coriander?,coriander market rate  = 1000-2000 avg 1500 RS /QUINTAL
898,Attack of White Fly ?,Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron 96%)  SYNGENTA
906,ATTACK OF SHOOT BORER ?,Spray fame  5ml/15 Lit of Water. (Flubendiamide 480 SC )- Byer Crop Science
908,FOR FLOWERING ?,Spray of Boom flower 30 ml/15 lit of Water.
910,asked about attack of blight on onion ?,attack of blight on onion  - Spray Cabriotop 45 gm/15 Liter of Water-metiram (dithiocarbamate)Basf
914,Asking about weather forecast?,"The weather will remain cloudy in the coming weeks, there is no chance of rainfall."
916,Asking about weather forecast Tahsil ?,TALUKA WEATHER REPORT -THIS WEEK WEATHER IS CLOUDY AND POSSIBILITY OF LIGHT RAINFALL CHANCES DURING THIS WEEK
918,Asking about weather forecast Tahsil ?,TALUKA WEATHER REPORT -THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK
920,ASKING ABOUT GRASSI SHUT OF SUGARCANE ?,GRASSI SHUT OF SUGARCANE SETS ARE TREATED WITH 100 GM CARBENDAZIM + 300 ML MALATHION /100 LITERS OF WATER FOR 10 MIN AND THEN 10 KG AZATOBACTOR+ 1.25 KG PSB /100 LITERS OF WATER FOR 30 MIN
924,Asking about weather  forecast ?,This week weather is mostly clear and NO Possibility of Rainfall
930,asked about market rate of ?,PUNE  market rate of green gram = 6050 RS /QUINTAL
932,ASKED ABOUT MARKET RATE OF greengram?,MARKET RATE OF GREENGRAM-5900-6200	 RS/QUINTAL
936,ASKING ABOUT  LOAN ?,FOR MORE DETAIL ABOUT  LOAN PLEASE VISIT YOUR NEARER NATIONALIZED BANK
940,VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM -  VISHAL, VIKAS, JAKI-9218, PHULE G-12"
944,Attack of White Grub on banana ?,Humnasur 6 kg/acre(Patil Biotech)
946,Asking about weather forecast?,"TODAY  weather is cloudy,NO possiblity of  rainfall."
948,asked about nutrient for pomegranate ?,"nutrient for pomegranate - spray 12 61 00 , 60 gm / 15 liter water"
952,ASKED ABOUT NUTRIENT FOR ONION ?,"NUTRIENT FOR ONION  - SPRAY 00 52 34 , 60 GM + MICROLA 30 ML / 15 LITER WATER"
954,ASKED ABOUT THRIPS ATTACK ON POMEGRANATE ?,Spray Confidor 10 ml /Super Confidor 10 ml /15 litar water (Imidacloprid 17.8 %)
956,Asking about weather forecast?,This week weather is CLEAR SKY and  NO possibility of rainfall .
960,Asking about weather forecast?,THIS WEEK WEATHER IS CLEAR  NO RAINFALL CHANCES
962,ASKING ABOUT SPRAY FOR CONTROLLING FRUIT DROP?,"1)APPLICATION OF BORON 500 GM +CALCIUM NITRATE 500 GM THROUGH DRIP
2)SPRAY CALSIBOR 30 GM /15 LITERS OF WATER."
966,FERTILIZER DOSE FOR lemon(4 YEAR PLANT)?,FERTILIZER DOSE FOR lemon-Application of urea 125gm + Single superphosphate 200 gm + zinc sulphate 25 gm + ferrous sulphate 25 gm + Manganese sulfate 25 gm
970,asked about attack caterpillar on cabbage?,attack caterpillar on cabbage: Spray fame  5ml/15 Lit of Water. (Flubendiamide 480 SC )- Byer Crop Science
980,ASKED ABOUT MARKET RATE OF OKRA ?,"MARKET RATE OF OKRA - 500,3500,	2000 RS/QUINTAL"
982,Asking about weather forecast?,This week weather is CLOUDY and no Possibility of Rainfall
986,FERTILIZER SPRAY ON ONION ?,SPRAY 12 61 00 40 60 GM + microla 30 ML /15 LITERS OF WATER
988,Asking about weather forecast?,This week weather is mostly cloudy and NO Possibility of Rainfall
1000,Asking about weather forecast?,"This week weather is cloudy, possibility of light rainfall."
1012,ASKING ABOUT PREPARATION OF SLURRY(JEEVAMRUT)?,TO PREPARE SLURRY MIX COW DUNG 10 KG + COW URINE 10 LITER + GRAM POWDER 2 KG + JAGGERY 2 KG + 200 LITER WATER. PUT IT FOR 7-8 DAYS. AFTER THAT USE IT PER ACRE /1 LITER PER PLANT
1014,ASKING ABOUT WEATHER FORECAST ?,"THIS WEEK WEATHER IS CLOUDY LIGHT RAINFALL  CHANCES,"
1024,Asking about weather forecast ?,Weather forecast - Environmental partially cloudy and not likely to rain - Temperature is 20 degrees Celsius and maximum 35 degree Celsius
1034,ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF -SOLAPUR	LAL	QUINTAL	9881	100	1500	650 rs /q
1044,FARMER ASKED ABOUT MARKET RATE OF black gram ?,MARKET RATE OF BLACK GRAM- 5750 RS/QTL
1046,Asking about weather forecast?,This week weather is mostly cloudy and  Possibility of Rainfall
1050,WEED MANAGEMENT IN ONION ?,SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING
1054,ASKING ABOUT CONTROL OF BLIGHT ATTACK ON ONION  ?,CONTROL OF BLIGHT ATTACK ON ONION - SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
1062,Asking about weather forecast?,This week partially weather is cloudy and possibility of light rainfall.TEM 30 DEGREE TO 34 DEGREE
1074,FERTILIZER SPRAY ON ONION ?,FERTILIZER SPRAY ON ONION - SPRAY 00 52 34  60 GM /15 Lit of Water.
1082,ASKED ABOUT SPRAYING FOR GROWTH ON PAPAYA ?,SPRAYING FOR GROWTH ON PAPAYA SPRAY 19:19:19 60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER
1084,FERTILIZER SPRAY FOR GROWTH  JACK FRUIT?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
1086,Asking about weather forecast?,coming three days weather is partly clear and no Possibility of Rainfall. from 14 oct light rainfall chances .
1090,Asking about weather forecast ?,Tahsil Weather Report- This week weather is cloudy and Possibility of light Rainfall .
1092,FERTILIZER SPRAY FOR GROWTH PHNAS ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
1098,Asking about weather forecast?,weather is partially cloudy and No Possibility of Rainfall
1102,Maharashtra Agricultural Education and Research Council,"Maharashtra Agricultural Education and Research Council, 132 / B, Bhaburda, Bhosale Nagar,
Pune - 411007 Phone: 020-25531208"
1106,Asking about weather forecast ?,Weather Forecast - In the coming weeks there will be partly cloudy weather and the probability of rainfall in some places - at 23 degrees Celsius and maximum 37 degree Celsius.
1110,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF ONION?,00:52:34-60 GRAM + MICROLA- 30 MILI / 15 LITER OF WATER
1112,Asking About Market Rate of onion?,Market Rate of onion- 1300 rupees/qtl
1114,ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF - 800RS/QUINTAL.
1118,FARMER ASKED ABOUT AKLUJ MARKET RATE OF TOMATO ?,AKLUJ MARKET RATE OF TOMATO - 1000/QTL
1124,Asking about weather forecast ?,"Today Partly cloudy, No Possibility of Rain"
1126,ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF - 1600RS/QUINTAL
1132,Asking about weather forecast?,"This week weather will be partly cloudy, there is a possibility of light rainfall in some spots."
1138,Asking about weather forecast ?,Weather Forecast - In the coming weeks there will be partly cloudy weather and the probability of rainfall in some places - at 19 degrees Celsius and maximum 33 degree Celsius.
1140,ASKED ABOUT ATTACK OF SUCKING PEST ON BRINJAL ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
1142,ATTACK OF LEAF EATING CATERPILLAR ?,SPRAY OF HAMALA 550 40 ML/15 LITERS OF WATER
1144,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES
1158,Asking about weather forecast Tahsil ?,Tahsil Weather Report- This week weather is cloudy and NO Possibility  rainfall
1160,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-16 DEGREE AND MAX.- 33
1162,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR AND NO RAINFALL CHANCES DURING THIS WEEK
1164,Asking About Market Rate gram?,gram Market Rate of  3176 rupees/qtl.
1170,FARMER ASKED ABOUT MARKET RATE OF ?,MARKET RATE OF onion solapur -average  7?? RS/QTL
1172,asked about blight of onion ?,Blight of onion - SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER.
1174,FRUIT BORER?,Spray Quinalphos (20 % AF) 22 ml/15 liter of water
1178,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS
1184,Asking about weather forecast ?,Weather Forecast - In the coming weeks there will be partly cloudy weather and the probability of rainfall in some places - at-23 degrees Celsius and maximum - 34 degree Celsius
1192,Asking About Market Rate?,Market Rate - 5500-6000rupees/qt.
1194,FERTILIZER DOSE FOR ONION ?,APPLICATION OF 10 26 26 1 BAG + UREA 1 BAG + MICRO NUTRIENTS 10 KG
1196,WEED MANAGEMENT IN JOWAR ?,"SPRAY 2,4-D 40 MILI / 15 LITERS OF WATER 30-35 DAYS AFTER SOWING"
1202,Asking about weather forecast?,"Today weather is cloudy  , No Possibility of Rain."
1206,Asking about weather forecast ?,This week weather is mostly clear and NO Possibility of Rainfall
1212,Asking about weather forecast ?,"THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-22 DEGREE AND MAX.- 34.
 NO RAINFALL CHANCES"
1214,Asked about GOVT SCHEME ?,visit to T.A.O. FOR MORE INFORMATION.
1220,Asking about weather forecast ?,Weather Forecast - In the coming weeks there will be partly cloudy weather and the probability of rainfall in some places - at 21 degrees Celsius and maximum 37 degree Celsius
1224,ASKED ABOUT BLIGHT ATTACK ON ONION ?,Spray Score  8 ml/15 Liter of Water (Difenconyazol 25%EC)
1228,ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
1240,ASKING ABOUT ATTACK OF APHIDS ON ONION?,ATTACK OF APHIDS ON ONION SPRAY OF BIO 303 - 15 ML / 15 LITERS OF WATER
1242,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS
1244,ATTACK OF LEAF EATING CATERPILLAR CABBAGE ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
1250,BLIGHT ATTACK ?,Spray Cabriotop 30 gm + Actra 5 gm /15 Liter of Water-metiram (dithiocarbamate)
1256,PREPARATION OF JIVAMRUT ?,For preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
1258,Asking about weather forecast?,TODAY weather is partially cloudy and No Possibility of Rainfall
1260,Asking about weather forecast ?,"Asking about weather forecast ?   
This week weather is mostly clear and NO Possibility of Rainfall"
1264,Asking about weather forecast ?,This week weather is mostly cloudy and NO Possibility of Rainfall
1266,Asking aAsking about weather forecast ?,This week weather is mostly clear and NO Possibility of Rainfall.
1274,Asked About SMS Activation?,Your SMS Registration process successfully completed.
1276,ATTACK OF LEAF EATING CATERPILLAR on paddy?,LEAF EATING CATERPILLAR on paddy-Spray Chloropyriphos 30 ml/15 Lit of Water.
1284,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-18 DEGREE AND MAX.- 34
1286,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK .
1288,farmer asked about wilt in pomegranate field?,DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER
1294,asking about pomogranate microneutrient dose?,pomogranate microneutrient dose      -00 52 34 60 GM + MICROLLA 30 ML /acre acre throgh drip irrigation
1304,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF -1000  RS/QTL
1306,Asking about weather forecast ?,Today weather is cloudy and  no  Possibility of Rainfall .
1314,ATTACK OF LEAF EATING CATERPILLAR on pigeonpea?,LEAF EATING CATERPILLAR on pigeonpea-Spray Chloropyriphos 30 ml/15 Lit of Water.
1322,ASKED ABOUT ATTACK OF BLIGHT ON ONION?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
1334,ATTACK OF POD BORER ?,Spray Neem ark 30 ml/15 liter water.
1338,Asking about weather forecast  ?,"Weather Forecast - The atmosphere will remain partly cloudy in the coming weeks, the temperature will be max.36 degrees.Min 21 degrees."
1342,asked about yellowing of leaves,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
1344,Asking about weather forecast ?,This week weather is partly cloudy and NO Possibility of Rainfall
1346,asked about market rate of sunflower ?,"market rate of sunflower = 3000,3400,3350 RS /QUINTal"
1348,FERTILIZER SPRAY ON ONION ?,FERTILIZER SPRAY ON ONION-SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
1354,FARMER ASKED ABOUT MARKET RATE of  pomogranate?,"MARKETE RATE OF- 1000,	6500,3700 RS/QTL"
1356,ASKED ABOUT FUNGAL ATTACK ON ONION ?,Spray M-45 30 gm /15 liter water.(Mancozeb 75% WP). INDOFIL
1358,FARMER ASKED ABOUT MARKET RATE OF POMOGRANATE ?,"MARKETE RATE OF POMOGRANATE-10000,12000,11000 RS/QTL"
1360,Asking about weather forecast?,"This week weather will remain partly cloudy, there will no possibility of rain."
1362,ASKING ABOUT INCREASING SIZE OF POMOGRANE ?,FOR INCREASING SIZE OF POMOGRANE APPLY OO OO 52 4KG / ACRE  THROUGH DRIP
1366,Asking about weather forecast?,Today's Weather Partly Cloudy and No Possibility of Rainfall.
1368,asked about attack of sucking pest on pomegranate ?,attack of sucking pest on pomegranate - spray spinosad 4 ml / 15 liter water
1376,asked about variety of sugarcane ?,variety of sugarcane - co- 86032
1392,BLIGHT ATTACK ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
1396,blight in onion,blight in onion - spray m 45 - 30 gm / 15 lit
1400,VARIETIES OF BITTER  GOURD ?,"VARIETIES OF BITTER  GOURD = PHULE GREEN GOLD ,HIRKANI,PUSA VISHESH.."
1402,ASKING ABOUT CONTROL OF BLIGHT ATTACK ON ONION?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
1408,VARIETIES OF BHENDI ?,VARIETIES OF BHENDI -PHULE UTKARSHA PARBHANI KRANTI ARKA ANAMIKA ARKA ABHAY MAHYCO -64 SHAN SAHIBA
1416,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES .
1432,Asking about weather forecast  ?,"Clear Weather , No Possibility of Rain."
1434,Asking about weather forecast?,TODAY  weather is CLOUDY and NO Possibility of Rainfall
1442,Attack of Jassids/Leaf hoppers?,Spray Triazhophos 30 ml /15 liter water
1444,ASKED ABOUT VARIETIES OF CHILLI ?,VARIETIES OF CHILLI -PUSA JWALA SANKESHWARI-32 TEJSWINI SITARA PHULE JYOTI PANT C AGNIREKHA
1446,Asking about weather forecast?,"Today weather is mostly clear , No Possibility of Rainfall"
1448,FUNGAL ATTACK ON BRINJAL  ?,Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA
1454,asking about rotting of  brinjal ?,spray folio gold 15 ml /15lit water.
1456,Asking about weather forecast?,This week weather is CLOUDY and LIGHT Possibility of Rainfall
1458,asked about aatack of yellow mite on brinjal?,spray chlorophinyapayar 10EC 300mili in 250 liter of water
1464,ASKING ABOUT ATTACK OF SUCKING PEST ON ONION ?,ATTACK OF SUCKING PEST ON ONION - Spray Actra 5 gm /15 liter of water.
1470,SEED TREATMENT FOR BENGAL GRAM ?,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS
1476,ASKING ABOUT WEATHER FORECAST?,TodayWeather is partially cloudy and No possibility of Rainfall.
1478,asked about market rate of onion ?,market rate of  onion= RS 800/QUINTAL
1480,asking about  attack Caterpillar on maize?,Attack Caterpillar on maize-Spray Chloropyriphos 30 ml/15 Lit of Water.
1488,ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL.
1500,VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
1504,Attack of Aphids and Sugarcane pyrilla (mava),Spray super confidor 10 ml /15 liter of water (Imida 17.8 sl)-Bayer
1506,ATTACK OF LEAF EATING CATERPILLAR ?,Spray Triazhophos 30 ml/15 liter water
1510,FERTILIZER SPRAY ON ONION ?,FERTILIZER SPRAY ON ONION-SPRAY 00 52 34 60 GM /15 Lit of Water.
1512,FARMER ASKED ABOUT MARKET RATE OF ONION  ?,PANDHARPUR MARKET RATE OF ONION  - 200-1401RS/QTL
1514,FARMER ASKED ABOUT FERTILIZER FOR GROWTH FOR POMEGRANATE ?,SPRAY ISABION 30 ML /15 LITERS OF WATER SYNGENTA
1518,ASKING ABOUT CONTROLL OF WILT ATTACK  ?,Spray Bavistine 30gm/15lit of Water.
1520,FARMER ASKED ABOUT CONTROLLING FLOWER DROP IN BRINJAL ?,FLOWER DROP IN BRINJAL - Spray Plano fix 5ml /15 Lit of Water.(NAA) BAYER
1524,ASKED ABOUT FERTILIZER USE IN PAPAYA ?,00 00 50 4 KG / ACRE TROUGH DRIP
1526,Asking about weather forecast?,This week weather is CLOUDY and light  Possibility of Rainfall
1530,ATTACK OF SHOOT BORER ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
1532,attack of thrips on chilli?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
1534,asked about bottle gourd ?,"Pusa gourd which is cultivated with greenery, flowers and other local varieties."
1538,Asking about weather forecast ?,This week weather is mostly clear and NO Possibility of Rainfall .
1540,BLIGHT ATTACK  on onion ?,Spray Bavistine 30gm/15lit of Water.
1542,asked about market rate of onion ?,onion market rate of =100 -1600	 RS /QUINTAL
1546,BLIGHT ATTACK on onion  ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
1548,ASKING ABOUT INCREASING SIZE OF APPLE -BER?,APPLY FOR INCREASING SIZE OF APPLE -BER -19 19 19 30GM/15 LIT OF WATER
1552,NIVADUG VARIETY,"??????? ???? ?????? (???????? ???????? ),
????? ??????? (???????? ??????? ???????? ??????????? ),
??????????? ??????? (???????? ?????-?????? ),
??????? ??????? (?????? ???????????? ???? ???????? ?????? )."
1558,ASKED ABOUT PREAPERATION OF BORDEUX MIXTURE ?,"One kg of copper sulphate powder is dissolved in 50 litres of water. Similarly, 1 kg of lime is powdered and dissolved in another 50 litres of water. Then copper sulphate solution is slowly added to lime solution with constant stirring or alternatively, both the solutions may be poured simultaneously to a third contained and mixed well."
1560,Asking about weather forecast?,This week weather is mostly cloudy and no possibility of rainfall.
1562,AsAbout SMS Activation?,Your SMS Registration  process successfully completed.
1564,asked about attack of fungal infection in pomogranate ?,Spray Natio 06 gm/15 Liter of Water(Tebuconyazol+Trifloxystrobin) -BAYER CROP SCIENCE
